id,titre,curation:theme,dcterms:valid,curation:number
72820,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 15, Cours du 27 mars 1984 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,15
72821,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 16, Cours du 17 avril 1984 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,16
72822,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 17, Cours du 24 avril 1984 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,17
72823,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 18, Cours du 15 mai 1984 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,18
72824,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 19, Cours du 22 mai 1984 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,19
72825,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 20, Cours du 29 mai 1984 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,20
72826,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 21, Cours du 5 juin 1984 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,21
72827,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 22, Cours du 12 juin 1984 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,22
72830,"[Sur Foucault]. Les formations historiques : année universitaire 1985-1986. 1, Cours du 22 octobre 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les formations historiques,1985-1986,1
72832,"[Sur Foucault]. Les formations historiques : année universitaire 1985-1986. 2, Cours du 29 octobre 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les formations historiques,1985-1986,2
72833,"[Sur Foucault]. Les formations historiques : année universitaire 1985-1986. 3, Cours du 5 novembre 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les formations historiques,1985-1986,3
72834,"[Sur Foucault]. Les formations historiques : année universitaire 1985-1986. 4, Cours du 12 novembre 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les formations historiques,1985-1986,4
72835,"[Sur Foucault]. Les formations historiques : année universitaire 1985-1986. 5, Cours du 19 novembre 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les formations historiques,1985-1986,5
72836,"[Sur Foucault]. Les formations historiques : année universitaire 1985-1986. 6, Cours du 26 novembre 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les formations historiques,1985-1986,6
72838,"[Sur Foucault]. Les formations historiques : année universitaire 1985-1986. 7, Cours du 10 décembre 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les formations historiques,1985-1986,7
72839,"[Sur Foucault]. Les formations historiques : année universitaire 1985-1986. 8, Cours du 17 décembre 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",Les formations historiques,1985-1986,8
72841,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 08, Cours du 8 janvier 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,8
72843,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 09, Cours du 15 janvier 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,9
72845,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 10, Cours du 22 janvier 1985 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,10
